Mês,Dia,Hora,Pressao Atmosferica {kPa},Umidade {kg/kg},U. R. {%},Densidade do ar {kg/m3}
1,1,1,92.5,11.758.182,86,1.089
1,2,1,92.2,13.934.006,86,1.072
1,3,1,92.0,14.618.576,72,1.055
1,3,2,91.9,15.239.751,76,1.054
1,3,3,91.9,15.166.187,85,1.061
1,3,4,91.9,14.577.533,96,1.071
1,3,5,91.8,15.255.419,98,1.068
1,3,6,91.8,153.537,98,1.067
1,3,7,91.8,15.228.175,96,1.066
1,3,8,91.9,15.367.091,95,1.066
1,3,9,91.9,15.383.221,93,1.065
1,3,10,91.8,15.233.422,90,1.062
1,3,11,91.8,15.490.368,85,1.058
1,3,12,91.8,15.490.368,85,1.058
1,3,13,91.8,1.532.304,82,1.057
1,3,14,91.7,16.157.447,88,1.055
1,3,15,91.7,1.501.708,84,1.058
1,3,16,91.6,1.586.169,92,1.058
1,3,17,91.6,15.823.709,95,1.060
1,3,18,91.6,15.066.329,96,1.065
1,3,19,91.6,14.872.206,96,1.066
1,3,20,91.7,14.329.757,89,1.066
1,3,21,91.7,14.701.348,91,1.065
1,3,22,91.8,15.526.338,96,1.065
1,3,23,91.8,15.668.758,97,1.064
1,3,24,91.9,14.145.219,99,1.075
1,4,1,91.9,12.877.026,96,1.081
1,4,2,91.9,12.835.471,95,1.081
1,4,3,91.8,12.807.042,96,1.081
1,4,4,91.8,12.308.962,94,1.082
1,4,5,91.8,11.826.776,94,1.086
1,4,6,91.9,11.776.172,95,1.088
1,4,7,92.0,11.767.642,97,1.090
1,4,8,92.0,11.920.475,95,1.088
1,4,9,92.1,12.308.738,95,1.086
1,4,10,92.1,12.267.252,94,1.086
1,4,11,92.1,12.765.018,94,1.083
1,4,12,92.1,1.247.274,95,1.085
1,4,13,92.1,12.765.018,94,1.083
1,4,14,92.1,12.598.891,91,1.082
1,4,15,92.0,12.543.532,81,1.074
1,4,16,92.0,12.405.796,87,1.079
1,4,17,92.0,12.448.977,86,1.078
1,4,18,91.9,12.335.976,87,1.078
1,4,19,91.9,12.251.824,88,1.080
1,4,20,92.0,12.154.911,88,1.082
1,4,21,92.0,1.191.412,92,1.086
1,4,22,92.2,11.297.187,91,1.091
1,4,23,92.2,11.415.517,91,1.091
1,4,24,92.2,1.137.992,92,1.092
1,5,1,92.1,11.907.055,95,1.089
1,5,2,92.1,11.865.618,94,1.089
1,5,3,92.1,12.149.245,97,1.089
1,5,4,92.0,12.245.804,99,1.088
1,5,5,92.0,12.284.777,98,1.087
1,5,6,92.0,12.162.847,97,1.087
1,5,7,92.1,12.555.771,97,1.086
1,5,8,92.1,12.514.253,96,1.086
1,5,9,92.1,12.725.057,92,1.082
1,5,10,92.2,13.155.399,87,1.077
1,5,11,92.2,14.236.297,90,1.073
1,5,12,92.2,1.408.798,79,1.066
1,5,13,92.2,14.595.004,78,1.062
1,5,14,92.2,15.585.562,88,1.064
1,5,15,92.1,1.560.356,88,1.063
1,5,16,92.1,15.197.384,88,1.065
1,5,17,92.1,14.997.775,88,1.066
1,5,18,92.0,14.789.354,91,1.068
1,5,19,92.0,14.280.151,89,1.069
1,5,20,92.1,14.483.924,91,1.071
1,5,21,92.2,14.309.297,94,1.075
1,5,22,92.2,13.980.772,95,1.077
1,5,23,92.3,13.783.283,95,1.079
1,5,24,92.3,14.098.367,96,1.078
1,6,1,92.3,13.783.283,95,1.079
1,6,2,92.2,1.344.126,95,1.080
1,6,3,92.2,12.876.747,95,1.084
1,6,4,92.1,12.722.375,95,1.084
1,6,5,92.1,12.722.375,95,1.084
1,6,6,92.1,12.722.375,95,1.084
1,6,7,92.2,13.008.753,93,1.082
1,6,8,92.2,13.572.571,85,1.073
1,6,9,92.3,13.315.881,79,1.071
1,6,10,92.3,13.065.376,69,1.065
1,6,11,92.3,14.385.764,73,1.061
1,6,12,92.2,14.226.583,65,1.053
1,6,13,92.2,14.537.608,65,1.052
1,6,14,92.1,14.986.351,63,1.046
1,6,15,92.1,15.063.512,60,1.043
1,6,16,92.1,15.493.854,63,1.043
1,6,17,92.0,16.253.324,71,1.046
1,6,18,92.0,16.253.324,71,1.046
1,6,19,92.0,15.931.917,68,1.045
1,6,20,92.0,15.423.238,69,1.048
1,6,21,92.2,15.270.011,81,1.061
1,6,22,92.2,14.620.375,80,1.063
1,6,23,92.3,14.853.542,84,1.066
1,6,24,92.3,15.020.688,88,1.068
1,7,1,92.4,14.836.205,84,1.068
1,7,2,92.4,14.945.969,88,1.070
1,7,3,92.3,14.504.542,91,1.072
1,7,4,92.2,14.486.685,96,1.075
1,7,5,92.2,14.403.198,94,1.074
1,7,6,92.2,14.319.735,92,1.073
1,7,7,92.3,14.209.676,92,1.075
1,7,8,92.3,14.230.875,89,1.073
1,7,9,92.4,15.071.374,91,1.070
1,7,10,92.5,15.155.319,82,1.065
1,7,11,92.5,15.029.934,80,1.064
1,7,12,92.5,15.192.217,76,1.060
1,7,13,92.5,1.529.693,76,1.060
1,7,14,92.4,14.877.661,68,1.054
1,7,15,92.4,15.462.633,76,1.058
1,7,16,92.4,15.694.229,79,1.059
1,7,17,92.3,15.480.701,83,1.062
1,7,18,92.3,16.196.863,85,1.059
1,7,19,92.4,14.752.671,83,1.067
1,7,20,92.4,15.824.508,96,1.070
1,7,21,92.4,1.497.271,96,1.075
1,7,22,92.5,15.206.549,96,1.074
1,7,23,92.7,153.127,97,1.076
1,7,24,92.7,14.907.434,92,1.076
1,8,1,92.6,14.827.023,92,1.075
1,8,2,92.5,14.513.183,91,1.075
1,8,3,92.4,14.569.188,100,1.079
1,8,4,92.4,14.392.464,98,1.079
1,8,5,92.3,14.408.511,98,1.078
1,8,6,92.4,14.132.917,95,1.078
1,8,7,92.4,14.058.708,91,1.077
1,8,8,92.5,14.001.016,90,1.077
1,8,9,92.5,13.677.335,83,1.074
1,8,10,92.6,14.159.219,80,1.070
1,8,11,92.6,15.196.862,71,1.058
1,8,12,92.6,15.813.548,68,1.052
1,8,13,92.5,1.507.698,65,1.052
1,8,14,92.5,15.540.385,64,1.049
1,8,15,92.4,16.083.286,59,1.039
1,8,16,92.4,16.158.541,58,1.039
1,8,17,92.3,16.249.436,74,1.051
1,8,18,92.3,14.269.303,75,1.062
1,8,19,92.3,1.390.452,76,1.066
1,8,20,92.3,14.849.882,90,1.070
1,8,21,92.4,15.155.008,92,1.071
1,8,22,92.6,15.586.861,96,1.073
1,8,23,92.6,15.189.495,96,1.075
1,8,24,92.6,14.110.138,93,1.080
1,9,1,92.6,14.254.806,92,1.078
1,9,2,92.5,14.270.984,92,1.077
1,9,3,92.4,14.423.145,93,1.076
1,9,4,92.3,14.947.701,96,1.073
1,9,5,92.3,14.947.701,96,1.073
1,9,6,92.3,14.796.906,96,1.074
1,9,7,92.4,1.426.726,96,1.078
1,9,8,92.4,13.915.766,92,1.078
1,9,9,92.5,14.593.232,87,1.072
1,9,10,92.5,13.871.026,76,1.068
1,9,11,92.6,14.488.145,70,1.060
1,9,12,92.5,14.753.952,68,1.056
1,9,13,92.5,1.507.698,65,1.052
1,9,14,92.4,14.095.587,53,1.044
1,9,15,92.3,14.239.489,54,1.044
1,9,16,92.2,14.431.231,51,1.037
1,9,17,92.2,149.672,63,1.047
1,9,18,92.2,14.081.417,93,1.075
1,9,19,92.3,13.923.323,94,1.078
1,9,20,92.3,15.017.065,93,1.071
1,9,21,92.3,15.355.275,94,1.070
1,9,22,92.3,15.438.983,96,1.070
1,9,23,92.4,14.860.714,92,1.073
1,9,24,92.4,14.902.507,93,1.073
1,10,1,92.4,1.505.634,98,1.075
1,10,2,92.4,14.715.475,99,1.078
1,10,3,92.3,14.173.526,99,1.080
1,10,4,92.2,13.691.124,100,1.082
1,10,5,92.2,13.473.666,99,1.083
1,10,6,92.2,13.958.718,100,1.080
1,10,7,92.3,14.399.223,100,1.079
1,10,8,92.3,14.785.003,98,1.076
1,10,9,92.3,15.329.668,92,1.068
1,10,10,92.3,15.564.909,78,1.058
1,10,11,92.3,14.687.616,65,1.052
1,10,12,92.3,15.552.447,65,1.047
1,10,13,92.3,14.489.383,57,1.045
1,10,14,92.2,14.300.208,55,1.043
1,10,15,92.2,15.223.923,51,1.034
1,10,16,92.1,13.903.245,50,1.039
1,10,17,92.1,148.688,71,1.054
1,10,18,92.1,15.455.423,84,1.061
1,10,19,92.1,15.055.488,88,1.065
1,10,20,92.1,15.561.698,88,1.063
1,10,21,92.1,14.705.353,83,1.064
1,10,22,92.2,1.522.167,89,1.066
1,10,23,92.2,1.463.029,89,1.070
1,10,24,92.3,13.844.855,83,1.071
1,11,1,92.3,14.064.082,86,1.072
1,11,2,92.2,1.443.767,89,1.071
1,11,3,92.2,14.007.436,90,1.074
1,11,4,92.1,14.014.034,91,1.073
1,11,5,92.1,14.148.629,92,1.073
1,11,6,92.1,14.097.422,93,1.074
1,11,7,92.1,14.148.629,92,1.073
1,11,8,92.2,14.152.883,89,1.072
1,11,9,92.2,14.129.659,80,1.066
1,11,10,92.2,13.994.982,70,1.059
1,11,11,92.2,14.767.629,67,1.052
1,11,12,92.2,14.758.597,60,1.046
1,11,13,92.2,15.056.478,58,1.042
1,11,14,92.2,14.570.416,53,1.040
1,11,15,92.2,11.688.715,41,1.042
1,11,16,92.2,12.253.567,40,1.037
1,11,17,92.1,13.762.106,48,1.037
1,11,18,92.0,13.191.765,44,1.034
1,11,19,92.2,15.645.219,81,1.058
1,11,20,92.3,15.735.102,92,1.066
1,11,21,92.3,15.438.983,96,1.070
1,11,22,92.3,13.307.073,80,1.072
1,11,23,92.3,13.473.478,83,1.073
1,11,24,92.4,13.457.662,83,1.075
1,12,1,92.4,1.286.748,74,1.072
1,12,2,92.4,12.950.549,76,1.072
1,12,3,92.3,14.094.905,88,1.073
1,12,4,92.2,14.236.297,90,1.073
1,12,5,92.2,14.090.819,91,1.074
1,12,6,92.2,14.081.417,93,1.075
1,12,7,92.3,13.526.633,91,1.078
1,12,8,92.3,12.585.736,81,1.078
1,12,9,92.3,14.307.218,80,1.066
1,12,10,92.3,15.208.458,74,1.056
1,12,11,92.3,14.540.576,64,1.052
1,12,12,92.3,14.145.882,58,1.048
1,12,13,92.3,14.281.123,55,1.044
1,12,14,92.3,1.386.506,50,1.041
1,12,15,92.2,13.884.131,50,1.040
1,12,16,92.2,14.320.555,51,1.038
1,12,17,92.1,12.914.643,45,1.038
1,12,18,92.1,11.906.151,42,1.040
1,12,19,92.1,11.988.823,42,1.041
1,12,20,92.2,13.040.754,49,1.044
1,12,21,92.2,13.622.117,56,1.048
1,12,22,92.3,14.019.969,61,1.052
1,12,23,92.3,14.748.727,70,1.056
1,12,24,92.4,16.027.012,88,1.063
1,13,1,92.4,16.194.714,91,1.065
1,13,2,92.4,16.131.565,92,1.065
1,13,3,92.4,15.538.158,94,1.070
1,13,4,92.4,15.437.752,94,1.071
1,13,5,92.3,15.455.218,94,1.069
1,13,6,92.3,1.531.343,93,1.070
1,13,7,92.4,15.170.585,91,1.070
1,13,8,92.5,14.986.043,88,1.070
1,13,9,92.5,15.108.638,74,1.060
1,13,10,92.5,15.006.634,68,1.055
1,13,11,92.5,15.039.175,58,1.045
1,13,12,92.5,15.214.311,53,1.039
1,13,13,92.4,14.225.387,49,1.039
1,13,14,92.4,11.747.216,40,1.042
1,13,15,92.3,15.691.258,64,1.046
1,13,16,92.3,16.919.076,72,1.046
1,13,17,92.2,13.505.109,70,1.062
1,13,18,92.2,16.431.719,85,1.057
1,13,19,92.3,16.255.171,92,1.064
1,13,20,92.4,16.509.206,99,1.068
1,13,21,92.5,15.705.259,96,1.071
1,13,22,92.5,15.830.963,98,1.072
1,13,23,92.6,15.387.034,96,1.074
1,13,24,92.6,15.444.796,95,1.073
1,14,1,92.6,1.593.286,97,1.072
1,14,2,92.6,15.890.943,96,1.071
1,14,3,92.5,15.950.712,97,1.070
1,14,4,92.5,15.806.734,96,1.071
1,14,5,92.4,15.926.684,96,1.069
1,14,6,92.5,16.011.441,96,1.070
1,14,7,92.5,15.848.641,97,1.071
1,14,8,92.4,15.615.061,92,1.068
1,14,9,92.6,15.948.209,87,1.065
1,14,10,92.6,15.488.071,83,1.065
1,14,11,92.7,14.696.959,66,1.057
1,14,12,92.7,15.011.176,69,1.058
1,14,13,92.6,14.057.639,53,1.046
1,14,14,92.5,14.568.696,55,1.045
1,14,15,92.5,16.766.022,66,1.044
1,14,16,92.5,14.663.447,91,1.074
1,14,17,92.5,17.343.664,93,1.061
1,14,18,92.5,16.710.148,91,1.063
1,14,19,92.5,16.427.971,96,1.068
1,14,20,92.6,15.825.822,92,1.070
1,14,21,92.6,15.078.832,91,1.073
1,14,22,92.6,15.586.861,96,1.073
1,14,23,92.7,15.229.012,95,1.075
1,14,24,92.7,15.343.736,93,1.074
1,15,1,92.7,14.865.641,91,1.075
1,15,2,92.6,1.488.254,91,1.074
1,15,3,92.6,15.387.034,96,1.074
1,15,4,92.5,14.760.286,91,1.073
1,15,5,92.4,14.818.928,91,1.072
1,15,6,92.4,14.696.766,95,1.075
1,15,7,92.4,14.506.638,95,1.076
1,15,8,92.5,14.705.215,91,1.074
1,15,9,92.5,15.592.482,88,1.067
1,15,10,92.5,15.171.535,74,1.059
1,15,11,92.5,15.011.188,66,1.053
1,15,12,92.5,1.499.348,64,1.051
1,15,13,92.4,1.098.718,40,1.047
1,15,14,92.4,11.307.529,39,1.043
1,15,15,92.3,10.743.198,36,1.042
1,15,16,92.2,9.807.789,33,1.042
1,15,17,92.1,10.378.441,34,1.039
1,15,18,92.1,1.094.187,38,1.041
1,15,19,92.1,1.727.535,80,1.049
1,15,20,92.1,17.058.848,88,1.055
1,15,21,92.2,17.138.441,92,1.058
1,15,22,92.3,16.941.266,93,1.061
1,15,23,92.3,16.616.428,93,1.062
1,15,24,92.3,16.551.361,93,1.063
1,16,1,92.3,16.616.428,93,1.062
1,16,2,92.3,16.616.428,93,1.062
1,16,3,92.2,14.829.145,84,1.065
1,16,4,92.1,14.930.111,85,1.064
1,16,5,92.1,14.888.331,85,1.064
1,16,6,92.1,15.980.594,96,1.065
1,16,7,92.2,15.740.895,97,1.069
1,16,8,92.3,14.670.795,83,1.066
1,16,9,92.3,14.462.118,79,1.065
1,16,10,92.3,13.155.795,65,1.061
1,16,11,92.4,12.226.647,53,1.055
1,16,12,92.4,12.212.729,51,1.053
1,16,13,92.3,11.801.839,47,1.050
1,16,14,92.3,12.633.716,48,1.046
1,16,15,92.2,12.421.598,45,1.042
1,16,16,92.2,926.762,32,1.044
1,16,17,92.1,10.570.878,37,1.042
1,16,18,92.1,11.483.139,40,1.041
1,16,19,92.1,13.163.469,48,1.040
1,16,20,92.1,12.752.149,49,1.045
1,16,21,92.2,12.193.927,48,1.048
1,16,22,92.2,12.582.507,52,1.049
1,16,23,92.3,13.648.426,59,1.052
1,16,24,92.3,13.436.755,62,1.057
1,17,1,92.3,14.957.461,73,1.057
1,17,2,92.3,15.020.688,88,1.068
1,17,3,92.3,14.227.618,74,1.062
1,17,4,92.2,14.479.372,79,1.064
1,17,5,92.2,13.978.969,81,1.067
1,17,6,92.2,14.379.865,84,1.068
1,17,7,92.3,14.655.224,90,1.071
1,17,8,92.4,12.950.549,76,1.072
1,17,9,92.4,1.523.177,74,1.058
1,17,10,92.4,15.852.829,68,1.049
1,17,11,92.5,14.350.997,55,1.046
1,17,12,92.5,13.528.853,44,1.038
1,17,13,92.4,13.646.817,46,1.039
1,17,14,92.4,12.636.564,40,1.037
1,17,15,92.4,14.939.345,70,1.056
1,17,16,92.3,16.809.434,84,1.056
1,17,17,92.3,17.486.737,85,1.053
1,17,18,92.3,17.582.585,88,1.055
1,17,19,92.4,1.625.845,90,1.064
1,17,20,92.5,15.336.624,92,1.071
1,17,21,92.5,15.908.794,96,1.070
1,17,22,92.5,15.336.624,92,1.071
1,17,23,92.6,15.219.658,92,1.073
1,17,24,92.6,15.261.493,93,1.073
1,18,1,92.6,15.319.238,92,1.072
1,18,2,92.5,15.195.101,92,1.071
1,18,3,92.4,15.563.354,97,1.071
1,18,4,92.3,15.538.949,96,1.070
1,18,5,92.3,16.028.462,97,1.068
1,18,6,92.3,16.089.428,97,1.068
1,18,7,92.3,15.371.512,92,1.069
1,18,8,92.4,15.884.771,95,1.069
1,18,9,92.4,15.144.897,88,1.068
1,18,10,92.4,15.817.522,84,1.062
1,18,11,92.4,16.118.759,74,1.053
1,18,12,92.4,16.249.063,66,1.046
1,18,13,92.3,15.599.999,58,1.040
1,18,14,92.2,16.033.203,56,1.035
1,18,15,92.1,16.598.594,63,1.038
1,18,16,92.2,15.854.568,84,1.060
1,18,17,92.2,15.644.744,84,1.061
1,18,18,92.2,16.809.528,92,1.060
1,18,19,92.3,16.874.382,93,1.062
1,18,20,92.4,15.538.158,94,1.070
1,18,21,92.4,15.280.505,95,1.072
1,18,22,92.3,14.629.804,93,1.073
1,18,23,92.3,14.534.379,93,1.074
1,18,24,92.3,14.199.862,94,1.076
1,19,1,92.2,13.452.473,91,1.078
1,19,2,92.2,13.452.473,91,1.078
1,19,3,92.1,13.509.483,92,1.077
1,19,4,92.1,13.426.236,90,1.076
1,19,5,92.1,14.005.045,93,1.075
1,19,6,92.1,14.097.422,93,1.074
1,19,7,92.1,14.005.045,93,1.075
1,19,8,92.1,14.242.072,92,1.073
1,19,9,92.2,14.713.815,91,1.070
1,19,10,92.1,15.113.758,87,1.064
1,19,11,92.1,15.204.495,80,1.059
1,19,12,92.1,16.484.837,75,1.049
1,19,13,92.1,15.057.184,76,1.057
1,19,14,92.1,15.412.773,76,1.055
1,19,15,92.1,15.496.423,78,1.056
1,19,16,92.0,15.305.951,75,1.053
1,19,17,91.9,15.309.966,70,1.048
1,19,18,91.8,15.570.884,69,1.045
1,19,19,91.8,14.842.077,67,1.047
1,19,20,91.9,13.763.755,73,1.060
1,19,21,92.0,1.679.933,95,1.060
1,19,22,92.1,16.714.989,96,1.062
1,19,23,92.1,15.916.031,92,1.064
1,19,24,92.1,15.771.069,92,1.064
1,20,1,92.0,14.248.198,94,1.073
1,20,2,92.0,14.331.646,96,1.073
1,20,3,91.9,14.162.054,96,1.073
1,20,4,91.9,14.069.969,96,1.074
1,20,5,91.9,14.020.109,96,1.074
1,20,6,91.9,13.936.732,95,1.074
1,20,7,92.0,13.845.686,91,1.073
1,20,8,92.0,13.762.364,90,1.073
1,20,9,92.1,14.480.269,73,1.058
1,20,10,92.1,1.509.861,73,1.054
1,20,11,92.1,15.111.591,65,1.047
1,20,12,92.2,15.117.433,64,1.047
1,20,13,92.1,14.986.351,63,1.046
1,20,14,92.1,14.745.181,57,1.042
1,20,15,92.0,15.263.029,60,1.040
1,20,16,92.0,15.653.239,66,1.044
1,20,17,92.0,16.159.962,78,1.051
1,20,18,92.0,15.346.757,78,1.056
1,20,19,92.1,14.091.617,81,1.066
1,20,20,92.1,14.044.123,86,1.070
1,20,21,92.1,14.221.979,88,1.070
1,20,22,92.1,13.741.926,83,1.069
1,20,23,92.1,1.408.581,87,1.070
1,20,24,92.1,13.579.971,86,1.073
1,21,1,92.0,14.310.692,91,1.071
1,21,2,91.9,1.478.002,95,1.069
1,21,3,91.9,14.725.909,96,1.070
1,21,4,91.9,14.725.909,96,1.070
1,21,5,91.9,14.399.793,95,1.071
1,21,6,91.9,14.139.252,91,1.071
1,21,7,91.9,13.470.926,87,1.072
1,21,8,92.0,14.310.692,91,1.071
1,21,9,92.1,14.772.451,91,1.069
1,21,10,92.1,14.355.001,84,1.066
1,21,11,92.1,14.410.459,83,1.066
1,21,12,92.1,14.429.158,77,1.061
1,21,13,92.1,14.684.017,73,1.056
1,21,14,92.0,1.505.525,71,1.052
1,21,15,92.0,14.137.799,63,1.050
1,21,16,91.9,1.461.483,64,1.047
1,21,17,91.8,1.430.009,60,1.044
1,21,18,91.8,16.222.983,72,1.044
1,21,19,91.8,17.230.225,88,1.051
1,21,20,92.0,16.101.878,96,1.064
1,21,21,92.0,1.436.378,98,1.075
1,21,22,92.0,1.488.866,97,1.071
1,21,23,92.1,14.913.768,98,1.073
1,21,24,92.1,14.818.059,98,1.073
1,22,1,92.1,14.913.768,98,1.073
1,22,2,92.0,15.137.596,96,1.069
1,22,3,92.0,15.053.958,95,1.069
1,22,4,92.0,15.277.469,97,1.069
1,22,5,92.0,15.040.126,96,1.070
1,22,6,92.0,15.040.126,96,1.070
1,22,7,92.0,14.763.295,95,1.070
1,22,8,92.1,14.772.451,91,1.069
1,22,9,92.1,14.981.406,96,1.071
1,22,10,92.2,14.486.685,96,1.075
1,22,11,92.2,1.472.981,84,1.065
1,22,12,92.2,1.576.129,74,1.053
1,22,13,92.2,14.716.895,60,1.046
1,22,14,92.1,15.484.805,57,1.038
1,22,15,92.2,15.479.157,85,1.062
1,22,16,92.2,13.619.011,95,1.079
1,22,17,92.1,13.829.857,91,1.075
1,22,18,92.0,13.895.937,90,1.073
1,22,19,92.0,14.371.891,84,1.065
1,22,20,92.0,14.901.137,90,1.066
1,22,21,92.0,15.449.418,95,1.067
1,22,22,92.1,14.772.451,91,1.069
1,22,23,92.1,13.731.888,84,1.070
1,22,24,92.2,13.748.023,86,1.073
1,23,1,92.2,14.100.741,90,1.073
1,23,2,92.1,14.055.725,92,1.074
1,23,3,92.1,1.426.427,96,1.075
1,23,4,92.1,13.856.105,95,1.077
1,23,5,92.1,13.765.816,95,1.078
1,23,6,92.1,13.724.154,95,1.077
1,23,7,92.1,13.586.804,95,1.079
1,23,8,92.2,13.155.399,87,1.077
1,23,9,92.2,13.652.915,80,1.069
1,23,10,92.2,14.499.183,70,1.056
1,23,11,92.3,15.139.955,64,1.048
1,23,12,92.3,15.259.946,62,1.045
1,23,13,92.3,15.611.419,59,1.041
1,23,14,92.2,14.403.817,51,1.038
1,23,15,92.1,13.440.421,43,1.032
1,23,16,92.1,14.079.608,44,1.030
1,23,17,92.0,16.141.267,71,1.046
1,23,18,92.2,15.980.252,86,1.060
1,23,19,92.1,13.741.926,83,1.069
1,23,20,92.2,13.600.829,80,1.070
1,23,21,92.2,13.642.455,81,1.070
1,23,22,92.3,14.738.758,91,1.072
1,23,23,92.3,14.822.317,93,1.072
1,23,24,92.3,1.454.629,91,1.073
1,24,1,92.3,14.261.728,91,1.074
1,24,2,92.3,13.991.366,90,1.075
1,24,3,92.3,14.261.728,91,1.074
1,24,4,92.2,1.441.416,92,1.073
1,24,5,92.2,14.372.426,91,1.073
1,24,6,92.3,14.220.013,90,1.074
1,24,7,92.3,14.345.176,93,1.075
1,24,8,92.3,14.629.804,93,1.073
1,24,9,92.4,15.077.966,85,1.067
1,24,10,92.4,15.440.829,78,1.059
1,24,11,92.4,15.513.892,71,1.054
1,24,12,92.4,153.657,63,1.047
1,24,13,92.3,14.197.861,54,1.043
1,24,14,92.3,1.539.113,56,1.039
1,24,15,92.2,1.476.708,51,1.036
1,24,16,92.2,14.056.741,47,1.035
1,24,17,92.1,15.640.782,58,1.038
1,24,18,92.1,15.640.782,58,1.038
1,24,19,92.1,16.960.468,72,1.044
1,24,20,92.1,15.153.349,65,1.047
1,24,21,92.1,15.554.571,69,1.049
1,24,22,92.2,15.552.104,71,1.051
1,24,23,92.2,1.597.063,77,1.054
1,24,24,92.2,16.389.771,84,1.057
1,25,1,92.2,16.389.771,84,1.057
1,25,2,92.2,16.389.771,84,1.057
1,25,3,92.2,16.389.771,84,1.057
1,25,4,92.1,16.492.874,86,1.056
1,25,5,92.1,16.618.778,88,1.057
1,25,6,92.1,16.828.741,92,1.059
1,25,7,92.2,1.571.118,91,1.065
1,25,8,92.2,15.582.585,85,1.061
1,25,9,92.2,15.268.778,74,1.056
1,25,10,92.2,15.435.456,66,1.048
1,25,11,92.2,14.835.394,57,1.043
1,25,12,92.2,11.383.288,39,1.041
1,25,13,92.2,12.088.238,40,1.038
1,25,14,92.2,14.142.656,45,1.032
1,25,15,92.1,14.162.764,45,1.031
1,25,16,92.1,14.469.405,55,1.041
1,25,17,92.1,14.308.696,67,1.054
1,25,18,92.0,12.624.189,72,1.067
1,25,19,92.1,13.521.937,70,1.061
1,25,20,92.1,15.143.417,80,1.060
1,25,21,92.2,14.996.271,87,1.066
1,25,22,92.2,15.038.068,88,1.066
1,25,23,92.3,14.822.701,87,1.069
1,25,24,92.3,16.150.969,96,1.067
1,26,1,92.3,14.989.855,91,1.070
1,26,2,92.3,15.157.107,94,1.071
1,26,3,92.2,14.729.957,95,1.073
1,26,4,92.1,14.650.943,95,1.072
1,26,5,92.1,14.514.077,94,1.072
1,26,6,92.1,14.419.523,94,1.073
1,26,7,92.2,14.444.939,95,1.074
1,26,8,92.2,13.873,89,1.074
1,26,9,92.3,13.803.201,83,1.071
1,26,10,92.3,14.436.106,77,1.063
1,26,11,92.3,12.818.028,49,1.046
1,26,12,92.3,10.935.033,39,1.044
1,26,13,92.3,1.291.916,46,1.041
1,26,14,92.2,11.228.007,36,1.037
1,26,15,92.1,11.715.055,35,1.031
1,26,16,92.0,14.524.801,45,1.028
1,26,17,92.0,15.733.742,52,1.029
1,26,18,91.9,15.264.104,53,1.033
1,26,19,91.9,15.241.134,59,1.039
1,26,20,92.0,12.633.863,51,1.046
1,26,21,92.1,14.535.025,66,1.052
1,26,22,92.1,16.585.658,84,1.054
1,26,23,92.2,16.449.282,87,1.059
1,26,24,92.3,16.360.987,92,1.063
1,27,1,92.3,16.150.969,96,1.067
1,27,2,92.3,16.150.969,96,1.067
1,27,3,92.3,15.438.983,96,1.070
1,27,4,92.2,14.980.728,100,1.074
1,27,5,92.2,14.257.657,95,1.075
1,27,6,92.2,14.843.306,99,1.075
1,27,7,92.2,14.486.685,96,1.075
1,27,8,92.2,15.035.082,99,1.074
1,27,9,92.3,14.766.328,88,1.069
1,27,10,92.3,15.951.488,77,1.055
1,27,11,92.3,14.123.945,59,1.049
1,27,12,92.3,15.036.757,58,1.043
1,27,13,92.3,15.106.386,57,1.042
1,27,14,92.2,14.667.518,52,1.038
1,27,15,92.2,15.949.557,56,1.035
1,27,16,92.2,15.369.735,55,1.037
1,27,17,92.1,15.849.819,61,1.039
1,27,18,92.1,15.870.229,68,1.046
1,27,19,92.1,15.696.772,73,1.051
1,27,20,92.1,15.454.595,77,1.056
1,27,21,92.2,15.708.181,87,1.062
1,27,22,92.2,15.543.701,88,1.064
1,27,23,92.3,15.632.868,92,1.067
1,27,24,92.3,15.489.359,91,1.067
1,28,1,92.3,15.088.608,91,1.069
1,28,2,92.2,14.852.767,91,1.070
1,28,3,92.2,14.509.132,92,1.072
1,28,4,92.1,14.367.246,95,1.074
1,28,5,92.1,14.222.549,96,1.075
1,28,6,92.1,13.801.039,98,1.079
1,28,7,92.2,14.048.959,100,1.080
1,28,8,92.3,14.418.318,96,1.077
1,28,9,92.3,14.337.612,87,1.071
1,28,10,92.3,14.770.006,83,1.066
1,28,11,92.3,14.770.266,72,1.057
1,28,12,92.3,14.531.053,58,1.046
1,28,13,92.3,13.480.548,50,1.044
1,28,14,92.2,14.472.871,51,1.038
1,28,15,92.2,13.904.607,46,1.035
1,28,16,92.1,13.072.889,42,1.033
1,28,17,92.1,17.690.347,78,1.045
1,28,18,92.1,17.298.783,85,1.051
1,28,19,92.1,16.408.969,84,1.056
1,28,20,92.2,15.960.386,84,1.059
1,28,21,92.2,16.515.633,86,1.058
1,28,22,92.2,16.599.572,88,1.058
1,28,23,92.3,16.773.221,90,1.060
1,28,24,92.3,1.562.851,88,1.064
1,29,1,92.4,15.652.345,88,1.066
1,29,2,92.3,14.418.292,84,1.068
1,29,3,92.3,15.944.614,96,1.068
1,29,4,92.2,15.860.175,96,1.067
1,29,5,92.2,15.556.456,96,1.069
1,29,6,92.2,15.356.871,96,1.070
1,29,7,92.3,14.637.438,99,1.077
1,29,8,92.3,1.528.261,97,1.072
